ext_product_name,mapped_product_name,match_type
芋泥波波,芋泥波波奶茶,keyword
柠檬茶,百香果绿茶,keyword
杨枝甘露,杨枝甘露奶茶,keyword
珍珠奶茶,黑糖珍珠奶茶,keyword
芝士奶盖,芝士奶盖抹茶,keyword
可可奶茶,红丝绒可可奶茶,keyword
水果茶,百香果绿茶,keyword
冰美式,金凤乌龙奶茶,keyword
抹茶拿铁,芝士奶盖抹茶,keyword
青稞奶茶,紫薯珍珠奶茶,fallback
青稞奶茶,黑豆芝麻豆浆奶茶,fallback
青稞奶茶,冰镇哈密瓜奶茶,fallback
青稞奶茶,蓝柑冰奶茶,fallback
青稞奶茶,奇异果百香奶茶,fallback
青稞奶茶,黑糖珍珠奶茶,fallback
青稞奶茶,薰衣草奶茶,fallback
青稞奶茶,冰冻葡萄奶茶,fallback
青稞奶茶,甜甜圈（草莓椰子）,fallback
青稞奶茶,双拼渐变奶茶,fallback
青稞奶茶,小蛋糕（蓝莓酸奶）,fallback
青稞奶茶,椰果青柠奶茶,fallback
青稞奶茶,玫瑰荔枝奶茶,fallback
青稞奶茶,麻薯球,fallback
青稞奶茶,无糖生椰抹茶,fallback
青稞奶茶,小蛋糕（芒果百香果）,fallback
青稞奶茶,炸鸡块,fallback
青稞奶茶,梦幻彩虹奶茶,fallback
青稞奶茶,橙香茉莉奶茶,fallback
青稞奶茶,杨枝甘露奶茶,fallback
