order_date,星期,ext_product_name,天气,是否周末,是否促销,ext_qty,ext_price,销售额,ext_name_norm,mapped_product_name,match_type,qty,unit_price,line_total,product_name_snap
2024-05-21,周二,芋泥波波,雨,False,False,12,11,132,芋泥波波,芋泥波波奶茶,keyword,12,11,132,芋泥波波奶茶
2024-05-09,周四,芋泥波波,晴,False,True,39,18,702,芋泥波波,芋泥波波奶茶,keyword,39,18,702,芋泥波波奶茶
2024-05-11,周六,柠檬茶,雪,True,False,52,19,988,柠檬茶,百香果绿茶,keyword,52,19,988,百香果绿茶
2024-03-01,周五,杨枝甘露,雨,False,False,26,20,520,杨枝甘露,杨枝甘露奶茶,keyword,26,20,520,杨枝甘露奶茶
2024-04-18,周四,芋泥波波,雨,False,False,21,17,357,芋泥波波,芋泥波波奶茶,keyword,21,17,357,芋泥波波奶茶
2024-04-18,周四,芋泥波波,雪,False,False,24,19,456,芋泥波波,芋泥波波奶茶,keyword,24,19,456,芋泥波波奶茶
2024-03-09,周六,珍珠奶茶,雨,True,False,35,12,420,珍珠奶茶,黑糖珍珠奶茶,keyword,35,12,420,黑糖珍珠奶茶
2024-04-28,周日,芝士奶盖,雨,True,False,40,14,560,芝士奶盖,芝士奶盖抹茶,keyword,40,14,560,芝士奶盖抹茶
2024-05-27,周一,芋泥波波,雪,False,False,17,17,289,芋泥波波,芋泥波波奶茶,keyword,17,17,289,芋泥波波奶茶
2024-05-21,周二,可可奶茶,雨,False,False,17,13,221,可可奶茶,红丝绒可可奶茶,keyword,17,13,221,红丝绒可可奶茶
2024-04-10,周三,水果茶,晴,False,False,27,15,405,水果茶,百香果绿茶,keyword,27,15,405,百香果绿茶
2024-05-03,周五,水果茶,多云,False,False,27,18,486,水果茶,百香果绿茶,keyword,27,18,486,百香果绿茶
2024-05-14,周二,水果茶,雨,False,False,24,18,432,水果茶,百香果绿茶,keyword,24,18,432,百香果绿茶
2024-03-07,周四,芋泥波波,多云,False,False,20,19,380,芋泥波波,芋泥波波奶茶,keyword,20,19,380,芋泥波波奶茶
2024-04-18,周四,冰美式,雪,False,False,32,10,320,冰美式,金凤乌龙奶茶,keyword,32,10,320,金凤乌龙奶茶
2024-03-15,周五,可可奶茶,雨,False,True,999,17,612,可可奶茶,红丝绒可可奶茶,keyword,999,17,16983,红丝绒可可奶茶
2024-04-03,周三,可可奶茶,雪,False,False,25,14,350,可可奶茶,红丝绒可可奶茶,keyword,25,14,350,红丝绒可可奶茶
2024-05-04,周六,冰美式,多云,True,False,33,18,594,冰美式,金凤乌龙奶茶,keyword,33,18,594,金凤乌龙奶茶
2024-05-07,周二,珍珠奶茶,阴,False,True,39,13,507,珍珠奶茶,黑糖珍珠奶茶,keyword,39,13,507,黑糖珍珠奶茶
2024-05-12,周日,芋泥波波,阴,True,False,35,12,420,芋泥波波,芋泥波波奶茶,keyword,35,12,420,芋泥波波奶茶
2024-04-30,周二,可可奶茶,雨,False,False,24,16,384,可可奶茶,红丝绒可可奶茶,keyword,24,16,384,红丝绒可可奶茶
2024-05-09,周四,柠檬茶,阴,False,False,29,15,435,柠檬茶,百香果绿茶,keyword,29,15,435,百香果绿茶
2024-05-06,周一,抹茶拿铁,多云,False,False,18,10,180,抹茶拿铁,芝士奶盖抹茶,keyword,18,10,180,芝士奶盖抹茶
2024-03-30,周六,冰美式,晴,True,True,52,13,676,冰美式,金凤乌龙奶茶,keyword,52,13,676,金凤乌龙奶茶
2024-03-05,周二,芝士奶盖,雪,False,False,22,17,374,芝士奶盖,芝士奶盖抹茶,keyword,22,17,374,芝士奶盖抹茶
2024-03-17,周日,冰美式,阴,True,False,50,16,800,冰美式,金凤乌龙奶茶,keyword,50,16,800,金凤乌龙奶茶
2024-03-13,周三,水果茶,阴,False,False,21,20,420,水果茶,百香果绿茶,keyword,21,20,420,百香果绿茶
2024-05-22,周三,芋泥波波,阴,False,False,12,13,156,芋泥波波,芋泥波波奶茶,keyword,12,13,156,芋泥波波奶茶
2024-05-08,周三,抹茶拿铁,阴,False,True,34,11,374,抹茶拿铁,芝士奶盖抹茶,keyword,34,11,374,芝士奶盖抹茶
2024-05-10,周五,芋泥波波,雪,False,False,12,13,156,芋泥波波,芋泥波波奶茶,keyword,12,13,156,芋泥波波奶茶
2024-05-02,周四,抹茶拿铁,阴,False,False,0,16,288,抹茶拿铁,芝士奶盖抹茶,keyword,1,16,16,芝士奶盖抹茶
2024-04-03,周三,抹茶拿铁,阴,False,False,27,20,540,抹茶拿铁,芝士奶盖抹茶,keyword,27,20,540,芝士奶盖抹茶
2024-03-20,周三,柠檬茶,多云,False,False,28,18,504,柠檬茶,百香果绿茶,keyword,28,18,504,百香果绿茶
2024-04-10,周三,珍珠奶茶,雪,False,False,19,13,247,珍珠奶茶,黑糖珍珠奶茶,keyword,19,13,247,黑糖珍珠奶茶
2024-05-05,周日,芋泥波波,晴,True,False,40,13,520,芋泥波波,芋泥波波奶茶,keyword,40,13,520,芋泥波波奶茶
2024-05-12,周日,柠檬茶,雪,True,True,60,20,1200,柠檬茶,百香果绿茶,keyword,60,20,1200,百香果绿茶
2024-05-06,周一,芝士奶盖,多云,False,False,23,13,299,芝士奶盖,芝士奶盖抹茶,keyword,23,13,299,芝士奶盖抹茶
2024-05-12,周日,芋泥波波,雪,True,False,31,12,372,芋泥波波,芋泥波波奶茶,keyword,31,12,372,芋泥波波奶茶
2024-03-09,周六,柠檬茶,雨,True,False,51,14,714,柠檬茶,百香果绿茶,keyword,51,14,714,百香果绿茶
2024-05-23,周四,可可奶茶,雪,False,False,20,11,220,可可奶茶,红丝绒可可奶茶,keyword,20,11,220,红丝绒可可奶茶
2024-03-27,周三,芝士奶盖,雨,False,False,20,10,200,芝士奶盖,芝士奶盖抹茶,keyword,20,10,200,芝士奶盖抹茶
2024-03-21,周四,抹茶拿铁,雪,False,True,0,18,648,抹茶拿铁,芝士奶盖抹茶,keyword,1,18,18,芝士奶盖抹茶
2024-05-14,周二,可可奶茶,阴,False,True,33,10,330,可可奶茶,红丝绒可可奶茶,keyword,33,10,330,红丝绒可可奶茶
