日期,星期,商品,天气,是否周末,是否促销,销量,客单价,销售额
5/21/2024,周二,芋泥波波,雨,FALSE,FALSE,12,11,132
5/9/2024,周四,芋泥波波,晴,FALSE,TRUE,39,18,702
5/11/2024,周六,柠檬茶,雪,TRUE,FALSE,52,19,988
3/1/2024,周五,杨枝甘露,雨,FALSE,FALSE,26,20,520
4/18/2024,周四,芋泥波波,雨,FALSE,FALSE,21,17,357
4/18/2024,周四,芋泥波波,雪,FALSE,FALSE,24,19,456
3/9/2024,周六,珍珠奶茶,雨,TRUE,FALSE,35,12,420
4/28/2024,周日,芝士奶盖,雨,TRUE,FALSE,40,14,560
5/27/2024,周一,芋泥波波,雪,FALSE,FALSE,17,17,289
5/21/2024,周二,可可奶茶,雨,FALSE,FALSE,17,13,221
4/10/2024,周三,水果茶,晴,FALSE,FALSE,27,15,405
5/3/2024,周五,水果茶,多云,FALSE,FALSE,27,18,486
5/14/2024,周二,水果茶,雨,FALSE,FALSE,24,18,432
3/7/2024,周四,芋泥波波,多云,FALSE,FALSE,20,19,380
4/18/2024,周四,冰美式,雪,FALSE,FALSE,32,10,320
3/15/2024,周五,可可奶茶,雨,FALSE,TRUE,999,17,612
4/3/2024,周三,可可奶茶,雪,FALSE,FALSE,25,14,350
5/4/2024,周六,冰美式,多云,TRUE,FALSE,33,18,594
5/7/2024,周二,珍珠奶茶,阴,FALSE,TRUE,39,13,507
5/12/2024,周日,芋泥波波,阴,TRUE,FALSE,35,12,420
4/30/2024,周二,可可奶茶,雨,FALSE,FALSE,24,16,384
5/9/2024,周四,柠檬茶,阴,FALSE,FALSE,29,15,435
5/6/2024,周一,抹茶拿铁,多云,FALSE,FALSE,18,10,180
3/30/2024,周六,冰美式,晴,TRUE,TRUE,52,13,676
3/5/2024,周二,芝士奶盖,雪,FALSE,FALSE,22,17,374
3/17/2024,周日,冰美式,阴,TRUE,FALSE,50,16,800
3/13/2024,周三,水果茶,阴,FALSE,FALSE,21,20,420
5/22/2024,周三,芋泥波波,阴,FALSE,FALSE,12,13,156
5/8/2024,周三,抹茶拿铁,阴,FALSE,TRUE,34,11,374
5/10/2024,周五,芋泥波波,雪,FALSE,FALSE,12,13,156
5/2/2024,周四,抹茶拿铁,阴,FALSE,FALSE,0,16,288
4/3/2024,周三,抹茶拿铁,阴,FALSE,FALSE,27,20,540
3/20/2024,周三,柠檬茶,多云,FALSE,FALSE,28,18,504
4/10/2024,周三,珍珠奶茶,雪,FALSE,FALSE,19,13,247
5/5/2024,周日,芋泥波波,晴,TRUE,FALSE,40,13,520
5/12/2024,周日,柠檬茶,雪,TRUE,TRUE,60,20,1200
5/6/2024,周一,芝士奶盖,多云,FALSE,FALSE,23,13,299
3/17/2024,周日,青稞奶茶,雨,TRUE,FALSE,40,10,400
5/12/2024,周日,芋泥波波,雪,TRUE,FALSE,31,12,372
3/9/2024,周六,柠檬茶,雨,TRUE,FALSE,51,14,714
5/23/2024,周四,可可奶茶,雪,FALSE,FALSE,20,11,220
3/18/2024,周一,青稞奶茶,晴,FALSE,FALSE,15,14,210
3/27/2024,周三,芝士奶盖,雨,FALSE,FALSE,20,10,200
4/24/2024,周三,青稞奶茶,晴,FALSE,FALSE,13,20,260
3/21/2024,周四,抹茶拿铁,雪,FALSE,TRUE,0,18,648
5/14/2024,周二,可可奶茶,阴,FALSE,TRUE,33,10,330
3/27/2024,周三,柠檬茶,雨,FALSE,FALSE,32,19,608
3/31/2024,周日,杨枝甘露,阴,TRUE,TRUE,51,19,969
5/29/2024,周三,芋泥波波,晴,FALSE,FALSE,25,13,325
4/28/2024,周日,芝士奶盖,多云,TRUE,FALSE,44,13,572
4/5/2024,周五,芋泥波波,雨,FALSE,FALSE,24,20,480
5/8/2024,周三,芝士奶盖,晴,FALSE,FALSE,14,12,168
4/3/2024,周三,珍珠奶茶,雪,FALSE,FALSE,18,15,270
5/5/2024,周日,芋泥波波,雪,TRUE,TRUE,53,10,530
5/8/2024,周三,柠檬茶,阴,FALSE,TRUE,46,19,874
3/16/2024,周六,青稞奶茶,雨,TRUE,FALSE,46,16,736
5/10/2024,周五,杨枝甘露,阴,FALSE,FALSE,22,19,418
4/8/2024,周一,水果茶,雨,FALSE,FALSE,16,19,304
4/11/2024,周四,抹茶拿铁,阴,FALSE,FALSE,32,17,544
3/22/2024,周五,芋泥波波,雪,FALSE,FALSE,28,15,420
3/31/2024,周日,青稞奶茶,多云,TRUE,TRUE,45,17,765
3/10/2024,周日,抹茶拿铁,雪,TRUE,TRUE,61,16,976
5/23/2024,周四,珍珠奶茶,阴,FALSE,FALSE,21,15,315
4/1/2024,周一,芋泥波波,多云,FALSE,FALSE,34,18,612
5/16/2024,周四,芝士奶盖,雪,FALSE,FALSE,32,16,512
5/10/2024,周五,抹茶拿铁,阴,FALSE,FALSE,18,20,360
5/6/2024,周一,抹茶拿铁,雨,FALSE,FALSE,21,13,273
4/10/2024,周三,可可奶茶,多云,FALSE,TRUE,30,13,390
4/22/2024,周一,芝士奶盖,阴,FALSE,TRUE,46,19,874
3/3/2024,周日,冰美式,阴,TRUE,TRUE,56,16,896
4/23/2024,周二,可可奶茶,阴,FALSE,FALSE,0,17,391
5/25/2024,周六,水果茶,阴,TRUE,FALSE,0,18,702
5/15/2024,周三,冰美式,晴,FALSE,FALSE,12,17,204
4/3/2024,周三,水果茶,多云,FALSE,FALSE,25,16,400
4/23/2024,周二,青稞奶茶,阴,FALSE,TRUE,30,15,450
3/9/2024,周六,珍珠奶茶,多云,TRUE,TRUE,44,13,572
4/30/2024,周二,芋泥波波,阴,FALSE,FALSE,21,12,252
5/31/2024,周五,芋泥波波,雨,FALSE,TRUE,29,19,551
4/18/2024,周四,水果茶,晴,FALSE,FALSE,26,13,338
4/8/2024,周一,冰美式,雪,FALSE,FALSE,18,18,324
4/17/2024,周三,芋泥波波,晴,FALSE,FALSE,27,11,297
4/16/2024,周二,抹茶拿铁,阴,FALSE,TRUE,42,14,588
5/8/2024,周三,抹茶拿铁,阴,FALSE,FALSE,33,14,462
4/1/2024,周一,芋泥波波,阴,FALSE,FALSE,25,19,475
4/18/2024,周四,芝士奶盖,阴,FALSE,FALSE,12,17,204
4/3/2024,周三,芝士奶盖,雪,FALSE,FALSE,-1,18,396
3/11/2024,周一,柠檬茶,阴,FALSE,FALSE,26,17,442
5/2/2024,周四,抹茶拿铁,晴,FALSE,FALSE,16,13,208
5/14/2024,周二,芝士奶盖,雪,FALSE,FALSE,31,18,558
5/29/2024,周三,抹茶拿铁,雨,FALSE,FALSE,19,13,247
5/8/2024,周三,杨枝甘露,多云,FALSE,FALSE,20,22,440
5/7/2024,周二,冰美式,晴,FALSE,FALSE,23,13,299
4/8/2024,周一,珍珠奶茶,雨,FALSE,TRUE,32,14,448
3/17/2024,周日,抹茶拿铁,晴,TRUE,FALSE,35,17,595
3/24/2024,周日,珍珠奶茶,阴,TRUE,TRUE,50,15,750
5/20/2024,周一,珍珠奶茶,多云,FALSE,FALSE,18,12,216
3/16/2024,周六,可可奶茶,雪,TRUE,FALSE,47,13,611
4/18/2024,周四,抹茶拿铁,雨,FALSE,FALSE,30,14,420
3/8/2024,周五,冰美式,多云,FALSE,FALSE,17,20,340
3/31/2024,周日,杨枝甘露,晴,TRUE,TRUE,65,22,1430
3/5/2024,周二,柠檬茶,雨,FALSE,TRUE,48,20,960
3/26/2024,周二,水果茶,雪,FALSE,FALSE,15,14,210
3/10/2024,周日,珍珠奶茶,雨,TRUE,FALSE,39,14,546
